   A  C  G  T  U  R  Y  S  W  K  M  B  D  H  V  N
A  2 -1 -1 -1 -1  1 -1 -1  1 -1  1 -1  1  1  1  1
C -1  2 -1 -1 -1 -1  1  1 -1 -1  1  1 -1  1  1  1
G -1 -1  2 -1 -1  1 -1  1 -1  1 -1  1  1 -1  1  1
T -1 -1 -1  2  2 -1  1 -1  1  1 -1  1  1  1 -1  1
U -1 -1 -1  2  2 -1  1 -1  1  1 -1  1  1  1 -1  1
R  1 -1  1 -1 -1  2 -1  1  1  1  1  1  1  1  1  1
Y -1  1 -1  1  1 -1  2  1  1  1  1  1  1  1  1  1
S -1  1  1 -1 -1  1  1  2 -1  1  1  1  1  1  1  1
W  1 -1 -1  1  1  1  1 -1  2  1  1  1  1  1  1  1
K -1 -1  1  1  1  1  1  1  1  2 -1  1  1  1  1  1
M  1  1 -1 -1 -1  1  1  1  1 -1  2  1  1  1  1  1
B -1  1  1  1  1  1  1  1  1  1  1  2  1  1  1  1
D  1 -1  1  1  1  1  1  1  1  1  1  1  2  1  1  1
H  1  1 -1  1  1  1  1  1  1  1  1  1  1  2  1  1
V  1  1  1 -1 -1  1  1  1  1  1  1  1  1  1  2  1
N  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  2
